iter	RMSE
0	0.5445023973
1	0.5229053826
2	0.5031853209
3	0.4849401416
4	0.4682507184
5	0.4518585013
6	0.4367172799
7	0.4229570482
8	0.4110959437
9	0.3997017496
10	0.3891756361
11	0.3795850052
12	0.3706842707
13	0.3627618903
14	0.3554357238
15	0.3492003126
16	0.3434039773
17	0.3380244825
18	0.3330633491
19	0.3286230949
20	0.3246626563
21	0.3208862349
22	0.3175617827
23	0.3146203935
24	0.3119427566
25	0.3094995124
26	0.3072298377
27	0.3051011259
28	0.3030209512
29	0.3011218176
30	0.2995343525
31	0.2980367141
32	0.2966968874
33	0.295469695
34	0.294224307
35	0.2928554915
36	0.2917198726
37	0.290698437
38	0.2896607518
39	0.2887944905
40	0.2881799037
41	0.2874588638
42	0.2866574396
43	0.2860418129
44	0.2853291598
45	0.2848205936
46	0.2840255585
47	0.2832730315
48	0.282641682
49	0.2820324407
50	0.2814405683
51	0.2809211946
52	0.2805054183
53	0.2799987748
54	0.2795417193
55	0.2791749969
56	0.2787294899
57	0.2783711292
58	0.2780391138
59	0.2776738784
60	0.2773485236
61	0.2770150061
62	0.2766194771
63	0.2761799075
64	0.2759516228
65	0.2756272271
66	0.2753274101
67	0.2749021117
68	0.2745416594
69	0.2742091072
70	0.2739195426
71	0.2735625701
72	0.2733614896
73	0.2730606139
74	0.2728510502
75	0.2726216539
76	0.2724261651
77	0.2720766321
78	0.2717721137
79	0.2715493302
80	0.2713673825
81	0.2712182893
82	0.2710378873
83	0.2708939605
84	0.2706749268
85	0.2705126739
86	0.2702955727
87	0.2700063776
88	0.2698267836
89	0.2696508484
90	0.2695031424
91	0.2693196031
92	0.2691449846
93	0.2689287952
94	0.2687245546
95	0.2685807798
96	0.2684319798
97	0.268165051
98	0.2679985564
99	0.2678743686
100	0.2676061328
101	0.2674590751
102	0.2673167629
103	0.267152415
104	0.2670168617
105	0.2669277385
106	0.2668226052
107	0.2667094772
108	0.2665740795
109	0.2664519219
110	0.2662711074
111	0.2661962802
112	0.2661082951
113	0.2659286005
114	0.2658227688
115	0.2657457489
116	0.2656741035
117	0.2655892672
118	0.2654841772
119	0.2653039069
120	0.2651283177
121	0.2649800711
122	0.2648171579
123	0.2646600325
124	0.2645543055
125	0.2644585857
126	0.2643837564
127	0.2642168057
128	0.264097478
129	0.2639339102
130	0.2637905471
131	0.2636516647
132	0.2635085388
133	0.2634566768
134	0.2634454815
135	0.2633954226
136	0.2633071941
137	0.2631831828
138	0.263049212
139	0.262973782
140	0.2628685024
141	0.2627688886
142	0.26262691
143	0.2624528522
144	0.2623385966
145	0.2621609474
146	0.2620611429
147	0.261922538
148	0.2618491089
149	0.2617413225
150	0.26164961
151	0.2615037098
152	0.2614148988
153	0.2613237359
154	0.2613205976
155	0.2611851585
156	0.261067039
157	0.2609564324
158	0.2608803287
159	0.2607782755
160	0.2606729647
161	0.2605699857
162	0.260460348
163	0.2603699399
164	0.2602876186
165	0.2601999025
166	0.2600555519
167	0.2599726778
168	0.2598995247
169	0.2597885292
170	0.2596671465
171	0.2595557048
172	0.2594727554
173	0.2593524481
174	0.2592494696
175	0.2591149061
176	0.2589899833
177	0.2589108229
178	0.2588421555
179	0.2587255558
180	0.2586484292
181	0.2585487144
