iter	Passed	Remaining
0	24	24310
1	48	24188
2	69	23158
3	90	22424
4	113	22620
5	137	22701
6	159	22604
7	182	22573
8	205	22633
9	227	22571
10	250	22523
11	273	22508
12	296	22506
13	322	22679
14	346	22779
15	370	22756
16	393	22770
17	418	22818
18	441	22820
19	466	22845
20	490	22864
21	515	22913
22	538	22888
23	562	22890
24	586	22863
25	610	22860
26	634	22883
27	661	22961
28	689	23093
29	716	23169
30	741	23176
31	768	23232
32	791	23203
33	816	23211
34	841	23192
35	866	23204
36	890	23176
37	916	23208
38	943	23245
39	968	23243
40	992	23218
41	1017	23215
42	1042	23194
43	1067	23190
44	1091	23159
45	1117	23174
46	1141	23137
47	1166	23139
48	1190	23100
49	1214	23080
50	1237	23026
51	1261	22994
52	1284	22955
53	1307	22907
54	1330	22866
55	1353	22812
56	1377	22783
57	1401	22754
58	1423	22701
59	1446	22667
60	1470	22634
61	1493	22595
62	1517	22562
63	1540	22525
64	1564	22504
65	1588	22473
66	1610	22432
67	1634	22396
68	1656	22357
69	1680	22323
70	1705	22312
71	1728	22275
72	1752	22250
73	1774	22210
74	1797	22167
75	1819	22115
76	1841	22071
77	1866	22067
78	1891	22050
79	1914	22018
80	1937	21986
81	1960	21951
82	1985	21930
83	2008	21896
84	2031	21864
85	2054	21837
86	2077	21805
87	2110	21868
88	2142	21929
89	2165	21894
90	2188	21858
91	2210	21814
92	2232	21775
93	2255	21741
94	2278	21701
95	2300	21663
96	2323	21633
97	2345	21589
98	2368	21560
99	2391	21520
100	2414	21491
101	2437	21463
102	2460	21428
103	2483	21397
104	2507	21374
105	2529	21336
106	2555	21329
107	2577	21291
108	2599	21253
109	2622	21217
110	2644	21177
111	2666	21140
112	2689	21110
113	2712	21082
114	2735	21049
115	2758	21022
116	2780	20982
117	2802	20950
118	2825	20916
119	2847	20884
120	2871	20860
121	2894	20828
122	2919	20814
123	2941	20783
124	2966	20767
125	2989	20734
126	3010	20695
127	3033	20666
128	3055	20633
129	3077	20594
130	3100	20565
131	3136	20623
132	3171	20676
133	3204	20706
134	3220	20632
135	3242	20596
136	3263	20560
137	3288	20541
138	3311	20509
139	3333	20476
140	3356	20449
141	3378	20414
142	3400	20380
143	3423	20350
144	3444	20312
145	3467	20282
146	3489	20249
147	3511	20214
148	3533	20180
149	3556	20152
150	3578	20120
151	3601	20090
152	3622	20055
153	3644	20023
154	3653	19917
155	3675	19885
156	3699	19862
157	3721	19832
158	3743	19799
159	3765	19769
160	3788	19743
161	3810	19709
162	3831	19676
163	3854	19647
164	3877	19624
165	3900	19595
166	3922	19567
167	3944	19533
168	3966	19504
169	3989	19480
170	4011	19448
171	4033	19417
172	4055	19386
173	4077	19355
174	4099	19323
175	4122	19300
176	4144	19271
177	4166	19242
178	4190	19219
179	4215	19203
180	4238	19180
181	4273	19206
182	4307	19230
183	4329	19199
184	4352	19172
185	4373	19141
186	4396	19115
187	4420	19092
188	4442	19064
189	4464	19034
190	4487	19005
191	4509	18976
192	4532	18950
193	4554	18922
194	4576	18893
195	4598	18862
196	4620	18834
197	4642	18803
198	4665	18777
199	4689	18758
200	4712	18733
201	4735	18709
202	4759	18687
203	4784	18667
204	4809	18651
205	4833	18630
206	4858	18613
207	4881	18588
208	4907	18572
209	4929	18545
210	4953	18523
211	4977	18502
212	5001	18479
213	5024	18454
214	5047	18428
215	5070	18405
216	5094	18382
217	5118	18359
218	5141	18334
219	5163	18306
220	5187	18286
221	5210	18259
222	5232	18232
223	5255	18207
224	5279	18183
225	5301	18155
226	5323	18126
227	5345	18100
228	5367	18072
229	5390	18045
230	5411	18016
231	5433	17987
232	5456	17960
233	5479	17937
234	5503	17915
235	5525	17888
236	5547	17859
237	5569	17830
238	5592	17806
239	5614	17780
240	5637	17755
241	5662	17734
242	5684	17709
243	5708	17686
244	5731	17661
245	5754	17637
246	5777	17611
247	5799	17585
248	5823	17565
249	5846	17540
250	5868	17512
251	5891	17487
252	5913	17460
253	5936	17435
254	5958	17408
255	5979	17378
256	6002	17354
257	6024	17325
258	6045	17296
259	6067	17268
260	6088	17239
261	6110	17211
262	6132	17185
263	6154	17157
264	6176	17130
265	6197	17101
266	6219	17075
267	6242	17050
268	6264	17022
269	6286	16996
270	6308	16968
271	6329	16941
272	6352	16917
273	6375	16891
274	6397	16864
275	6418	16836
276	6451	16840
277	6477	16824
278	6500	16799
279	6522	16773
280	6544	16746
281	6566	16719
282	6589	16695
283	6610	16665
284	6632	16638
285	6654	16613
286	6677	16588
287	6699	16563
288	6745	16594
289	6777	16592
290	6801	16570
291	6822	16542
292	6845	16517
293	6867	16490
294	6890	16466
295	6912	16441
296	6936	16418
297	6958	16391
298	6981	16367
299	7006	16348
300	7029	16324
301	7051	16297
302	7074	16274
303	7096	16248
304	7119	16222
305	7141	16197
306	7163	16170
307	7185	16143
308	7209	16121
309	7230	16093
310	7253	16069
311	7274	16041
312	7297	16017
313	7321	15996
314	7344	15970
315	7366	15944
316	7392	15927
317	7429	15934
318	7466	15939
319	7492	15921
320	7517	15902
321	7540	15878
322	7563	15852
323	7585	15826
324	7607	15800
325	7630	15775
326	7653	15751
327	7676	15727
328	7699	15703
329	7722	15678
330	7746	15656
331	7767	15628
332	7790	15604
333	7813	15580
334	7836	15555
335	7858	15529
336	7880	15504
337	7905	15484
338	7927	15458
339	7950	15433
340	7971	15406
341	7993	15378
342	8015	15352
343	8037	15327
344	8059	15301
345	8082	15277
346	8104	15251
